Joaco Restaurant,2,1,10,167,0,10000
Hello Kitty,4,1,2,1,0,10
La Ferrari Colorada,2,1,3,17,0,1000
Pistas Pedrito,3,1,3,18,0,1000
SimPrueba1,2,2,4,482,1220,28800
Kansas,3,4,6,3352,8373,201600
Kansas,2,2,2,478,1213,28800
AndresPaolinaxdddd,1,1,1,1,1,50
1,2,2,5,12,30,100
132',1,1,10,101,267,1000
Juli Brow,1,1,2,96,236,1000
P1,1,2,10,104,277,1000
DW,1,1,5,1001,2545,10000
Prueba,3,3,10,102,252,1000
25,1,1,1,10,23,100
Topos,2,2,3,629,1537,6400
A,2,2,2,327,790,3200
A,2,2,2,331,830,3200
2,2,2,2,314,802,3200
2,2,2,2,332,811,3200
1,2,2,2,317,790,3200
A,2,2,2,319,774,3200
A,2,2,2,320,787,3200
A,2,2,2,320,781,3200
A,2,2,2,326,809,3200
A,2,2,2,320,810,3200
A,2,2,2,316,790,3200
A,2,2,2,308,788,3200
A,2,2,2,322,759,3200
A,2,2,2,316,810,3200
A,2,2,2,326,794,3200
A,2,2,2,320,818,3200
